ID	LABEL	alternative term	IEDB alternative term	has cross-reference	logical type	parent	textual definition	logical annotation goal	derives from organism	axiom organism	derives from cell	axiom cell	derives from tissue	axiom tissue	having disease	axiom disease	unified axiom
ID	A rdfs:label	A alternative term SPLIT=|	A IEDB alternative term	A oboInOwl:hasDbXref SPLIT=|	CLASS_TYPE	C %	AL definition@en SPLIT=|			C 'derived from organism' some %		C 'derived from cell' some %		C 'derives from' some ('part of' some %)		C 'derives from' some ('part of' some ('organism' and ('has disease' some %)))	C %
ICF:0000001	NB-4 cell	NB-4|NB.4|NB4	NB-4 cell	RRID:CVCL_0005|CLO:0007947	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with acute promyelocytic leukemia.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'acute promyelocytic leukemia'))))))	Homo sapiens		B cell		bone marrow		acute promyelocytic leukemia		'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'acute promyelocytic leukemia'))))))
ICF:0000002	NALM-6 cell	NALM-6	NALM-6 cell	RRID:CVCL_0092 |CLO:0007938	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with B-cell adult acute lymphocytic leukemia.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-cell adult acute lymphocytic leukemia'))))))	Homo sapiens		B cell		blood		B-cell adult acute lymphocytic leukemia		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-cell adult acute lymphocytic leukemia'))))))
ICF:0000003	697 cell	697	697 cell	RRID:CVCL_0079|CLO:0001008	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with B-lymphoblastic leukemia/lymphoma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))	Homo sapiens		B cell		bone marrow		B-lymphoblastic leukemia/lymphoma		'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))
ICF:0000004	SUP-B15 cell	CRL-1929|SUP-B15	SUP-B15 cell	RRID:CVCL_0103|CLO:0009161	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the bone marrow of subjects with B-lymphoblastic leukemia/lymphoma.	'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))	Homo sapiens		B cell		bone marrow		B-lymphoblastic leukemia/lymphoma		'derives from' some ('B cell' and ('part of' some ('bone marrow' and ('part of' some ('Homo sapiens' and ('has disease' some 'B-lymphoblastic leukemia/lymphoma'))))))
ICF:0000005	Daudi cell	Daudi|DAUDI|NK-10A|NK-10a|NK 10a|NK10a|N|GM03190|GM3190|GM03190A|GM17346|RCB1640	Daudi cell	RRID:CVCL_0008|CLO:0002708	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens		B cell		blood		Burkitt lymphoma		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000006	DG-75 cell	DG-75	DG-75 cell	RRID:CVCL_0244|CLO:0002767	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens		B cell		pleural effusion		Burkitt lymphoma		'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000007	NAMALWA cell	NAMALWA|Namalwa IV|Namalva|NAMALVA|NWA|NK62a	NAMALWA cell	RRID:CVCL_0067|CLO:0007939	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the blood of subjects with Burkitt lymphoma.	'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))	Homo sapiens		B cell		blood		Burkitt lymphoma		'derives from' some ('B cell' and ('part of' some ('blood' and ('part of' some ('Homo sapiens' and ('has disease' some 'Burkitt lymphoma'))))))
ICF:0000008	K 562 cell	GM05372|GM05372E|K 562|K-562|K.562|K562|KO|K562|K.562|RCB1635	K 562 cell	RRID:CVCL_0004|CLO:0007050	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the pleural effusion of subjects with chronic myeloid leukemia.	'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'chronic myeloid leukemia'))))))	Homo sapiens		B cell		pleural effusion		chronic myeloid leukemia		'derives from' some ('B cell' and ('part of' some ('pleural effusion' and ('part of' some ('Homo sapiens' and ('has disease' some 'chronic myeloid leukemia'))))))
ICF:0000009	DB cell	DB	DB cell	RRID:CVCL_1168|CLO:0002709	subclass	immortal human B cell line cell	An immortal human B cell line cell originating from the ascitic fluid of subjects with diffuse large B-cell lymphoma.	'derives from' some ('B cell' and ('part of' some ('ascitic fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))	Homo sapiens		B cell		ascitic fluid		diffuse large B-cell lymphoma		'derives from' some ('B cell' and ('part of' some ('ascitic fluid' and ('part of' some ('Homo sapiens' and ('has disease' some 'diffuse large B-cell lymphoma'))))))
